,de,,,,en,fa
Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
,,,,,,
das,Reisebüro,s,Reisebüros,,travel agency,آژانس مسافرتی
der,Tourismus,-,-,,tourism,گردشگری
der,Pass,Pässe,Pässe,,passport,گذرنامه
der,Reisepass,Reisepässe,Reisepässe,,passport,گذرنامه
der,PersonalAusweis,e,PersonalAusweise,,personal id card,كارت شناسایی
das,Visum,Visa,Visa,,visa,روادید
der,Ausländer,Ausländer,Ausländer,,foreigner,بیگانه
die,Ausländerin,nen,Ausländerinnen,,foreigner,بیگانه
die,Reise,n,Reisen,,trip,سفر
die,Abreise,n,Abreisen,,departure,عزیمت
die,Anreise,n,Anreisen,,arrival,ورود
die,Einreise,n,Einreisen,,entry,ورود به کشور
,einreisen,,,v,enter,وارد شدن به کشور
der,Aufenthalt,e,Aufenthalte,,stay,اقامت
,aufhalten,,,v,stop,متوقف کردن
die,Verbindung,en,Verbindungen,,connection,اتصال
,abfahren,,,v,depart,عزیمت
die,Abfahrt,en,Abfahrten,,departure,عزیمت
,ankommen,,,v,arrive,رسیدن
die,Ankunft,Ankünfte,Ankünfte,,arrival,ورود
,abfliegen,,,v,depart,عزیمت
der,Abflug,Abflüge,Abflüge,,departure,عزیمت
,landen,,,v,land,فرود آمدن
die,Buchung,en,Buchungen,,booking,نگه داشتن
,stornieren,,,v,cancel,پس گرفتن
der,Tarif,e,Tarife,,tarif,نرخ
der,Passagier,e,Passagiere,,passenger,مسافر
die,Fluggesellschaft,en,Fluggesellschaften,,airline,شرکت هواپیمایی
der,Flughafen,Flughäfen,Flughäfen,,airport,فرودگاه
der,Flugsteig,e,Flugsteige,,airport gate,گیت فرودگاه
der,Zug,Züge,Züge,,train,قطار
das,Gleis,e,Gleise,,track,خط آهن
die,Reihe,n,Reihen,,row,ردیف
die,Sitzreihe,n,Sitzreihen,,seat row,ردیف صندلی
das,Gepäck,-,-,,baggage,چمدان
der,Gepäckschein,e,Gepäckscheine,,baggage claim,ادعای چمدان
das,Gepäckstück,e,Gepäckstücke,,piece of luggage,تکه ای از چمدان
der,Koffer,Koffer,Koffer,,suitcase,چمدان
die,Reisetasche,n,Reisetaschen,,travel bag,کیف مسافرتی
der,Rucksack,Rucksäcke,Rucksäcke,,backpack,کوله پشتی
