Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
,,,,,,
der,Brauch,Bräuche,Bräuche,,need,نیاز
die,Kultur,en,Kulturen,,culture,فرهنگ
die,Religion,en,Religionen,,religion,دین
die,Tradition,en,Traditionen,,tradition,سنت
die,Feier,n,Feiern,,celebration,جشن
das,Fest,e,Feste,,party,جشن
das,Festival,s,Festivals,,festival,جشنواره
das,Weihnachten,-,-,,christmas,کریسمس
das,Weihnachtsfest,e,Weihnachtsfeste,,christmas party,جشن کریسمس
der,Weihnachtsmann,Weihnachtsmänn,Weihnachtsmänn,,santa claus,بابا نوئل
der,Baum,Bäum,Bäum,,tree,درخت
der,Weihnachtsbaum,,,,christmas tree,درخت کریسمس
der,Heiligabend,-,-,,christmas eve,شب کریسمس
das,Christkind,-,-,,christ child,مسیح کودک
die,Bescherung,en,Bescherungen,,gift-giving,هدیه دادن
die,Vorweihnachtszeit,,,,pre-christmas season,در آستانه کریسمس
der,Advent,-,-,,advent,ظهور
die,Adventszeit,-,-,,advent season,هنگام ظهور
der,Adventskranz,Adventskränz,Adventskränz,,advent wreath,تاج گل ظهور
die,Kerze,n,Kerzen,,candle,شمع
das,Ostern,-,-,,easter,عید پاک
der,Karfreitag,e,Karfreitage,,good friday,جمعه مقدس
der,Ostersonntag,e,Ostersonntage,,easter sunday,یکشنبه عید پاک
der,Ostermontag,e,Ostermontage,,easter monday,دوشنبه عید پاک
der,Osterhase,n,Osterhasen,,easter bunny,خرگوش عید پاک
das,Neujahrsfest,e,Neujahrsfeste,,new year's celebration,جشن سال نو
das,Silvester,-,-,,new year's eve,شب سال نو
die,Sommersonnenwende,,,,summer solstice,طولانی ترین روز سال
die,Ernte,n,Ernten,,harvest,برداشت محصول
der,Zug,Züge,Züge,,train,قطار
das,Erntedankfest,e,Erntedankfeste,,harvest festival,جشنواره برداشت محصول
der,Wagen,-,-,,carriage,واگن
,Gott,Götter,Götter,,god,خدا
die,Kirche,n,Kirchen,,church,کلیسا
,kirchlich,,,adj,ecclesiastical,کلیسایی
der,Priester,-,-,,priest,کشیش
die,Priesterin,nen,Priesterinnen,,priestess,کاهنه
die,Geburt,en,Geburten,,birth,تولد
das,Leben,-,-,,life,زندگی
der,Tod,e,Tode,,death,مرگ
die,Fruchtbarkeit,,,,fertility,باروری
das,Symbol,e,Symbole,,symbol,نماد
